"Sex","Race","State","Ethnicity","Age Group","First Year","Last Year","Cause of Death","Year","Deaths","Population","Crude Rate"
"Both Sexes","All Races","Alabama","Both","10-14 yrs","1981","1998","Suicide","1981","2","328068","0.61"
"Both Sexes","All Races","Alabama","Both","15-19 yrs","1981","1998","Suicide","1981","21","365456","5.75"
"Both Sexes","All Races","Alabama","Both","20-24 yrs","1981","1998","Suicide","1981","43","368173","11.68"
"Both Sexes","All Races","Alabama","Both","25-29 yrs","1981","1998","Suicide","1981","33","323513","10.2"
"Both Sexes","All Races","Alabama","Both","30-34 yrs","1981","1998","Suicide","1981","28","297148","9.42"
"Both Sexes","All Races","Alabama","Both","35-39 yrs","1981","1998","Suicide","1981","33","232227","14.21"
"Both Sexes","All Races","Alabama","Both","40-44 yrs","1981","1998","Suicide","1981","28","204054","13.72"
"Both Sexes","All Races","Alabama","Both","45-49 yrs","1981","1998","Suicide","1981","32","191655","16.7"
"Both Sexes","All Races","Alabama","Both","Ages 10 to 49","1981","1998","Suicide","1981","220","2310294","9.52"
"Both Sexes","All Races","Alabama","Both","10-14 yrs","1981","1998","Suicide","1982","5","325818","1.53"
"Both Sexes","All Races","Alabama","Both","15-19 yrs","1981","1998","Suicide","1982","22","352501","6.24"
"Both Sexes","All Races","Alabama","Both","20-24 yrs","1981","1998","Suicide","1982","44","368078","11.95"
"Both Sexes","All Races","Alabama","Both","25-29 yrs","1981","1998","Suicide","1982","47","328917","14.29"
"Both Sexes","All Races","Alabama","Both","30-34 yrs","1981","1998","Suicide","1982","44","293066","15.01"
"Both Sexes","All Races","Alabama","Both","35-39 yrs","1981","1998","Suicide","1982","37","249067","14.86"
"Both Sexes","All Races","Alabama","Both","40-44 yrs","1981","1998","Suicide","1982","21","208414","10.08"
"Both Sexes","All Races","Alabama","Both","45-49 yrs","1981","1998","Suicide","1982","37","191496","19.32"
"Both Sexes","All Races","Alabama","Both","Ages 10 to 49","1981","1998","Suicide","1982","257","2317357","11.09"
"Both Sexes","All Races","Alabama","Both","10-14 yrs","1981","1998","Suicide","1983","3","322937","0.93"
"Both Sexes","All Races","Alabama","Both","15-19 yrs","1981","1998","Suicide","1983","17","340930","4.99"
"Both Sexes","All Races","Alabama","Both","20-24 yrs","1981","1998","Suicide","1983","46","366382","12.56"
"Both Sexes","All Races","Alabama","Both","25-29 yrs","1981","1998","Suicide","1983","37","333790","11.08"
"Both Sexes","All Races","Alabama","Both","30-34 yrs","1981","1998","Suicide","1983","36","294167","12.24"
"Both Sexes","All Races","Alabama","Both","35-39 yrs","1981","1998","Suicide","1983","30","255828","11.73"
"Both Sexes","All Races","Alabama","Both","40-44 yrs","1981","1998","Suicide","1983","33","216738","15.23"
"Both Sexes","All Races","Alabama","Both","45-49 yrs","1981","1998","Suicide","1983","27","193666","13.94"
"Both Sexes","All Races","Alabama","Both","Ages 10 to 49","1981","1998","Suicide","1983","229","2324438","9.85"
"Both Sexes","All Races","Alabama","Both","10-14 yrs","1981","1998","Suicide","1984","4","317420","1.26"
"Both Sexes","All Races","Alabama","Both","15-19 yrs","1981","1998","Suicide","1984","22","332238","6.62"
"Both Sexes","All Races","Alabama","Both","20-24 yrs","1981","1998","Suicide","1984","42","364090","11.54"
"Both Sexes","All Races","Alabama","Both","25-29 yrs","1981","1998","Suicide","1984","44","337703","13.03"
"Both Sexes","All Races","Alabama","Both","30-34 yrs","1981","1998","Suicide","1984","42","298493","14.07"
"Both Sexes","All Races","Alabama","Both","35-39 yrs","1981","1998","Suicide","1984","35","266567","13.13"
"Both Sexes","All Races","Alabama","Both","40-44 yrs","1981","1998","Suicide","1984","30","223023","13.45"
"Both Sexes","All Races","Alabama","Both","45-49 yrs","1981","1998","Suicide","1984","27","196719","13.73"
"Both Sexes","All Races","Alabama","Both","Ages 10 to 49","1981","1998","Suicide","1984","246","2336253","10.53"
"Both Sexes","All Races","Alabama","Both","10-14 yrs","1981","1998","Suicide","1985","2","311160","0.64"
"Both Sexes","All Races","Alabama","Both","15-19 yrs","1981","1998","Suicide","1985","28","327948","8.54"
"Both Sexes","All Races","Alabama","Both","20-24 yrs","1981","1998","Suicide","1985","46","358935","12.82"
"Both Sexes","All Races","Alabama","Both","25-29 yrs","1981","1998","Suicide","1985","26","340574","7.63"
"Both Sexes","All Races","Alabama","Both","30-34 yrs","1981","1998","Suicide","1985","50","305099","16.39"
"Both Sexes","All Races","Alabama","Both","35-39 yrs","1981","1998","Suicide","1985","30","276792","10.84"
"Both Sexes","All Races","Alabama","Both","40-44 yrs","1981","1998","Suicide","1985","23","228650","10.06"
"Both Sexes","All Races","Alabama","Both","45-49 yrs","1981","1998","Suicide","1985","29","198857","14.58"
"Both Sexes","All Races","Alabama","Both","Ages 10 to 49","1981","1998","Suicide","1985","234","2348015","9.97"
"Both Sexes","All Races","Alabama","Both","10-14 yrs","1981","1998","Suicide","1986","3","301346","1"
"Both Sexes","All Races","Alabama","Both","15-19 yrs","1981","1998","Suicide","1986","26","329946","7.88"
"Both Sexes","All Races","Alabama","Both","20-24 yrs","1981","1998","Suicide","1986","40","347940","11.5"
"Both Sexes","All Races","Alabama","Both","25-29 yrs","1981","1998","Suicide","1986","46","342563","13.43"
"Both Sexes","All Races","Alabama","Both","30-34 yrs","1981","1998","Suicide","1986","40","311122","12.86"
"Both Sexes","All Races","Alabama","Both","35-39 yrs","1981","1998","Suicide","1986","45","290909","15.47"
"Both Sexes","All Races","Alabama","Both","40-44 yrs","1981","1998","Suicide","1986","41","231696","17.7"
"Both Sexes","All Races","Alabama","Both","45-49 yrs","1981","1998","Suicide","1986","38","201351","18.87"
"Both Sexes","All Races","Alabama","Both","Ages 10 to 49","1981","1998","Suicide","1986","279","2356873","11.84"
"Both Sexes","All Races","Alabama","Both","10-14 yrs","1981","1998","Suicide","1987","2","297823","0.67"
"Both Sexes","All Races","Alabama","Both","15-19 yrs","1981","1998","Suicide","1987","26","331220","7.85"
"Both Sexes","All Races","Alabama","Both","20-24 yrs","1981","1998","Suicide","1987","41","335645","12.22"
"Both Sexes","All Races","Alabama","Both","25-29 yrs","1981","1998","Suicide","1987","39","340867","11.44"
"Both Sexes","All Races","Alabama","Both","30-34 yrs","1981","1998","Suicide","1987","42","318768","13.18"
"Both Sexes","All Races","Alabama","Both","35-39 yrs","1981","1998","Suicide","1987","35","290638","12.04"
"Both Sexes","All Races","Alabama","Both","40-44 yrs","1981","1998","Suicide","1987","39","250298","15.58"
