"Notes"	"Census Region"	"Census Region Code"	"Year"	"Year Code"	"Month"	"Month Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	Deaths	Population	Crude Rate
	"Census Region 1: Northeast"	"CENS-R1"	"1999"	"1999"	"Jan., 1999"	"1999/01"	"15-24 years"	"15-24"	41	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"1999"	"1999"	"Jan., 1999"	"1999/01"	"25-34 years"	"25-34"	66	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"1999"	"1999"	"Jan., 1999"	"1999/01"	"35-44 years"	"35-44"	91	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"1999"	"1999"	"Jan., 1999"	"1999/01"	"45-54 years"	"45-54"	50	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"1999"	"1999"	"Jan., 1999"	"1999/01"	"55-64 years"	"55-64"	40	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"1999"	"1999"	"Jan., 1999"	"1999/01"	"65-74 years"	"65-74"	28	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"1999"	"1999"	"Jan., 1999"	"1999/01"	"75-84 years"	"75-84"	31	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"1999"	"1999"	"Jan., 1999"	"1999/01"	"85+ years"	"85+"	10	Not Applicable	Not Applicable
"Total"	"Census Region 1: Northeast"	"CENS-R1"	"1999"	"1999"	"Jan., 1999"	"1999/01"			362	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"1999"	"1999"	"Feb., 1999"	"1999/02"	"15-24 years"	"15-24"	36	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"1999"	"1999"	"Feb., 1999"	"1999/02"	"25-34 years"	"25-34"	58	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"1999"	"1999"	"Feb., 1999"	"1999/02"	"35-44 years"	"35-44"	74	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"1999"	"1999"	"Feb., 1999"	"1999/02"	"45-54 years"	"45-54"	66	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"1999"	"1999"	"Feb., 1999"	"1999/02"	"55-64 years"	"55-64"	30	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"1999"	"1999"	"Feb., 1999"	"1999/02"	"65-74 years"	"65-74"	26	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"1999"	"1999"	"Feb., 1999"	"1999/02"	"75-84 years"	"75-84"	24	Not Applicable	Not Applicable
"Total"	"Census Region 1: Northeast"	"CENS-R1"	"1999"	"1999"	"Feb., 1999"	"1999/02"			325	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"1999"	"1999"	"Mar., 1999"	"1999/03"	"15-24 years"	"15-24"	36	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"1999"	"1999"	"Mar., 1999"	"1999/03"	"25-34 years"	"25-34"	47	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"1999"	"1999"	"Mar., 1999"	"1999/03"	"35-44 years"	"35-44"	94	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"1999"	"1999"	"Mar., 1999"	"1999/03"	"45-54 years"	"45-54"	50	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"1999"	"1999"	"Mar., 1999"	"1999/03"	"55-64 years"	"55-64"	50	Not Applicable	Not Applicable
