month_end,ment_health_no_good_18_24,genhlth_no_good_18_24,ment_health_no_good_25on,genhlth_no_good_25on,divorced_widowed_separated,avg_close_apple_stock,avg_close_atandt_stock,avg_close_verizon_stock,x0_24_suicides,x25on_suicides,population_num_million,unemp_per,personal_save_rate,x0_24_suicides_per_thous,x25on_suicides_per_thous
1999-01-31,0.4595701125895599,0.00511770726714432,0.2950152594099695,0.04984740590030519,0.263841547673883,0.37109400000000003,55.141447368421055,51.35976025,384,2111,277.74,0.043,0.063,1382.5880319723483,7600.633686181321
1999-02-28,0.44734625105307496,0.010951979780960405,0.3018696977184746,0.044806852812783134,0.2601613867304244,0.325893,52.01973684210526,51.949940749999996,294,1997,277.94,0.044000000000000004,0.062,1057.7822551629847,7185.003957688709
1999-03-31,0.46353730092204526,0.009220452640402346,0.3012327293786713,0.045999834532969304,0.2687181790955376,0.3021206,50.57608695652174,47.9788688,368,2095,278.2,0.042,0.059000000000000004,1322.7893601725377,7530.553558590942
1999-04-30,0.4702526487367563,0.008149959250203748,0.31077463610506945,0.04835201606156935,0.26823014855591587,0.35128325,53.464285714285715,51.93589,342,2128,278.46,0.043,0.051,1228.1835811247577,7642.031171442936
1999-05-31,0.44609053497942386,0.0049382716049382715,0.30833620987228166,0.0489299275112185,0.2587521394118562,0.404241,52.4125,50.283385,349,2191,278.75,0.042,0.049,1252.0179372197308,7860.089686098655
1999-06-30,0.4470787468247248,0.01100762066045724,0.3103448275862069,0.04586622351474865,0.268186263446927,0.4063895,54.07670454545455,54.09988425,306,2123,279.04,0.043,0.048,1096.6169724770643,7608.228211009174
1999-07-31,0.45859375,0.00546875,0.30126282557221784,0.0489344909234412,0.2705034945086293,0.4859095,56.86607142857143,58.07657825,314,2235,279.35,0.043,0.048,1124.0379452299983,8000.715947735815
1999-08-31,0.4426229508196721,0.00702576112412178,0.295654296875,0.046956380208333336,0.2656158357771261,0.5564732,54.31534090909091,56.938372,321,2266,279.65,0.042,0.047,1147.863400679421,8102.985875201146
1999-09-30,0.4262008733624454,0.00611353711790393,0.30415973377703825,0.050249584026622295,0.26848072562358277,0.62730175,49.038690476190474,57.950109499999996,299,1948,279.95,0.042,0.042,1068.047865690302,6958.385425968923
1999-10-31,0.456661316211878,0.009630818619582664,0.3016367887763055,0.04653156664068589,0.26845827439886844,0.6566685,49.44345238095238,58.17494125,338,2099,280.22,0.040999999999999995,0.045,1206.1951323959745,7490.543144672043
1999-11-30,0.47360248447204967,0.0038819875776397515,0.3067992047713718,0.04930417495029821,0.27109296662369287,0.8597098,51.317708333333336,57.3543082,331,2090,280.47,0.040999999999999995,0.048,1180.1618711448639,7451.777373694155
1999-12-31,0.4299772899318698,0.012112036336109008,0.29377632938558146,0.04626023368571656,0.27101200686106347,0.913644,51.47727272727273,57.036735500000006,254,1981,280.73,0.04,0.043,904.783956114416,7056.602429380543
2000-01-31,0.42072630646589904,0.0044286979627989375,0.2980412460091466,0.04599188886012598,0.2614542611415168,0.930134,42.31875,52.408033,359,2226,280.94,0.04,0.054000000000000006,1277.8529223321707,7923.4000142379155
2000-02-29,0.48632668144863267,0.010347376201034738,0.31611363461390407,0.04426822696127492,0.2537096103175704,1.0231585,39.740625,47.38306825,347,1990,281.16,0.040999999999999995,0.048,1234.1727130459524,7077.820458102147
2000-03-31,0.45948072383949645,0.011014948859166011,0.30658189977561706,0.04652206432311144,0.26798805321748576,1.172433,43.203804347826086,53.312977,340,2178,281.42,0.04,0.045,1208.1586241205316,7739.322009807405
2000-04-30,0.44925479063165363,0.007097232079488999,0.3075534373194685,0.048743500866551125,0.2654164224783486,1.086077,44.469572368421055,55.3083495,326,2154,281.64,0.038,0.05,1157.5060360744214,7648.061354921177
2000-05-31,0.44996501049685095,0.006997900629811057,0.3052455357142857,0.04582868303571429,0.2693640889897271,0.8815850000000001,43.53267045454545,47.641623,349,2273,281.89,0.04,0.049,1238.0715882081663,8063.42899712654
2000-06-30,0.46601941747572817,0.005227781926811053,0.30674615152429824,0.049652882583760945,0.2674703718839395,0.881836,46.80894886363637,48.8304155,327,2115,282.16,0.04,0.049,1158.9169265664868,7495.747093847462
2000-07-31,0.4562043795620438,0.00291970802919708,0.3084422946111405,0.04701080795102411,0.266412421683465,0.933482,44.0296875,44.39282,300,2177,282.42,0.04,0.052000000000000005,1062.2477161674103,7708.37759365484
2000-08-31,0.46408839779005523,0.0055248618784530384,0.31089049787265804,0.047995819959692466,0.26619680130116563,0.9729355000000001,41.88111413043478,38.474152000000004,341,2212,282.69,0.040999999999999995,0.052000000000000005,1206.268350489936,7824.825780890728
2000-09-30,0.4481865284974093,0.012953367875647668,0.31866555966488036,0.05109819609027096,0.27491195359436504,0.857352,45.8,40.62409475,313,2021,282.96,0.039,0.045,1106.1634153237208,7142.352275940063
2000-10-31,0.45318352059925093,0.010611735330836454,0.31875726255274905,0.049966362913583265,0.26790362780393245,0.3734372,52.69034090909091,45.93291,366,2109,283.2,0.039,0.046,1292.3728813559323,7447.033898305085
2000-11-30,0.477909147479776,0.009334163036714374,0.31690185811889404,0.04808122086712215,0.2608094881685762,0.33007825,56.770833333333336,48.8163625,324,1948,283.44,0.039,0.045,1143.0990685859442,6872.706745695738
2000-12-31,0.46344647519582244,0.00587467362924282,0.31585694141776693,0.0434559671836944,0.25998261373514925,0.26339275,50.3875,47.1582365,296,1921,283.65,0.039,0.042,1043.5395734179447,6772.430812621189
2001-01-31,0.45709946848899013,0.00683371298405467,0.30351644790147464,0.052665694376924324,0.26623141095393543,0.3330358,49.77595228571428,48.4397722,309,2188,283.84,0.042,0.048,1088.6414881623452,7708.568207440812
2001-02-28,0.46421536441234407,0.009192383453709783,0.3063846610001977,0.05185478025960335,0.26390861742424243,0.340123,48.667895,45.78452125,308,2012,284.05,0.042,0.049,1084.3161415243794,7083.259989438478
2001-03-31,0.4608540925266904,0.004744958481613286,0.3062383979299094,0.0516960117005119,0.272089476359939,0.3792185,43.48681818181818,43.0146065,336,2202,284.27,0.043,0.053,1181.9748830337355,7746.156822738945
2001-04-30,0.4676470588235294,0.007058823529411765,0.31967783057132926,0.05012168269787924,0.26489927982465294,0.4285714,41.9689999,47.8601578,351,2245,284.49,0.044000000000000004,0.05,1233.7867763366023,7891.314281697071
2001-05-31,0.48094940662086194,0.006870705808869456,0.3163841807909605,0.051211955531255696,0.27297134403594325,0.40192,42.95681768181818,48.59940225,341,2398,284.73,0.043,0.044000000000000004,1197.6258209531836,8422.013837670775
2001-06-30,0.4691689008042895,0.00938337801608579,0.31309638168427795,0.048735190521934035,0.268560847173196,0.38959825000000003,40.73714280952381,47.6641055,331,2222,284.97,0.045,0.044000000000000004,1161.5257746429447,7797.311997754149
2001-07-31,0.46987951807228917,0.004016064257028112,0.3097682226095939,0.05068112854283685,0.27244131181918796,0.3761428,42.37666661904762,49.3656234,342,2401,285.22,0.046,0.055999999999999994,1199.0743987097678,8418.063249421499
2001-08-31,0.4310455420141116,0.010262989095574085,0.30199936528086324,0.052554744525547446,0.268515870746354,0.33129474999999997,42.98130439130435,46.88619125,312,2352,285.49,0.049,0.068,1092.8578934463553,8238.467196749449
2001-09-30,0.46686303387334316,0.004418262150220913,0.3544157608695652,0.0546875,0.27267682062033666,0.29415175,44.592000666666664,45.9801245,332,2066,285.69,0.05,0.07,1162.0987783961637,7231.614687248416
2001-10-31,0.46189111747851,0.009169054441260744,0.3343596391724734,0.05023497002106628,0.2662429723783916,0.3203214,43.04913030434783,46.9572388,362,2222,285.92,0.053,0.034,1266.088416340235,7771.4045886961385
2001-11-30,0.4561933534743202,0.009667673716012085,0.3165130107468223,0.04549669957994654,0.26755753526354864,0.351875,38.44095276190476,44.17473375,321,2185,286.14,0.055,0.040999999999999995,1121.8284755713987,7636.122177954848
2001-12-31,0.48398835516739447,0.012372634643377001,0.3123087621696801,0.05006954102920723,0.2620481927710843,0.3930358,38.78399985,43.3635446,318,2078,286.34,0.057,0.045,1110.5678563944962,7257.106935810575
2002-01-31,0.4254937163375224,0.00718132854578097,0.294463346736777,0.05706773894215898,0.2801754634215367,0.4057145,37.6295240952381,43.39906775,368,2379,286.54,0.057,0.061,1284.2884065051999,8302.505758358344
2002-02-28,0.4407252440725244,0.0041841004184100415,0.2918333118307315,0.05444458779512321,0.27416891812522026,0.4201785,36.52315747368421,41.52622875,301,2110,286.72,0.057,0.057999999999999996,1049.8046875,7359.095982142857
2002-03-31,0.4557823129251701,0.005442176870748299,0.2812380588460069,0.052095274487326454,0.25575477154424525,0.43468775,38.61649995,41.829749,324,2278,286.93,0.057,0.059000000000000004,1129.1952741086675,7939.218624751682
2002-04-30,0.48613138686131385,0.00583941605839416,0.3040599625234229,0.05833853841349157,0.2618393960192176,0.4332142,34.09318204545455,37.9676086,326,2427,287.15,0.059000000000000004,0.057999999999999996,1135.2951419118929,8452.02855650357
