Date 	Uses internet 	Doesn’t use internet
6/1995 	14 	86
7/1996 	23 	77
11/1997 	36 	64
5/1998 	36 	64
3/2000 	46 	54
8/2000 	50 	50
2/2001 	53 	47
9/2001 	59 	41
1/2002 	61 	39
9/2002 	61 	39
5/2003 	61 	39
2/2004 	63 	37
6/2004 	63 	37
1/2005 	66 	34
6/2005 	68 	32
9/2005 	72 	28
1/2006 	73 	27
4/2006 	73 	27
8/2006 	70 	30
11/2006 	68 	32
12/2006 	70 	30
3/2007 	71 	29
9/2007 	73 	27
12/2007 	75 	25
5/2008 	73 	27
8/2008 	75 	25
11/2008 	74 	26
12/2008 	74 	26
4/2009 	79 	21
9/2009 	77 	23
12/2009 	74 	26
5/2010 	79 	21
9/2010 	74 	26
11/2010 	74 	26
12/2010 	77 	23
1/2011 	79 	21
5/2011 	78 	22
8/2011 	78 	22
4/2012 	82 	18
9/2012 	81 	19
11/2012 	85 	15
12/2012 	81 	19
5/2013 	85 	15
9/2013 	86 	14
1/2014 	87 	13
