month_end,ment_health_no_good_18_24,genhlth_no_good_18_24,divorced_widowed_separated_18_24,ment_health_no_good_25on,genhlth_no_good_25on,divorced_widowed_separated_25on,ment_health_no_good,genhlth_no_good,divorced_widowed_separated,avg_close_apple_stock,avg_close_atandt_stock,avg_close_facebook_stock,avg_close_tmobile_stock,avg_close_twitter_stock,avg_close_verizon_stock,gdp_quart,gdp_fill,x0_24_suicides,x25on_suicides,all_social_media_usage,x18_29_social_media_usage,x30_49_social_media_usage,x50_64_social_media_usage,x65_social_media_usage,population_num_million,broadband_usage_per,unemp_per,psavert,personal_save_rate
1999-01-31,0.4595701125895599,0.00511770726714432,0.03991811668372569,0.2950152594099695,0.04984740590030519,0.28646998982706,0.3089820359281437,0.04578535237217872,0.263841547673883,0.37109400000000003,55.141447368421055,0,0,0,51.35976025,0,12403.293,384,2111,0,0,0,0,0,277.74,0,0.043,6.3,0.063
1999-02-28,0.44734625105307496,0.010951979780960405,0.038753159224936815,0.3018696977184746,0.044806852812783134,0.2821843340746232,0.31425582785415423,0.04184100418410042,0.2601613867304244,0.325893,52.01973684210526,0,0,0,51.949940749999996,0,12403.293,294,1997,0,0,0,0,0,277.94,0,0.044000000000000004,6.2,0.062
1999-03-31,0.46353730092204526,0.009220452640402346,0.039396479463537304,0.3012327293786713,0.045999834532969304,0.2911392405063291,0.31521413596885295,0.042602575621443546,0.2687181790955376,0.3021206,50.57608695652174,0,0,0,47.9788688,12403.293,12403.293,368,2095,0,0,0,0,0,278.2,0,0.042,5.9,0.059000000000000004
1999-04-30,0.4702526487367563,0.008149959250203748,0.03015484922575387,0.31077463610506945,0.04835201606156935,0.29186883051698176,0.32493778749717217,0.04479300203604555,0.26823014855591587,0.35128325,53.464285714285715,0,0,0,51.93589,0,12498.694,342,2128,0,0,0,0,0,278.46,0,0.043,5.1,0.051
1999-05-31,0.44609053497942386,0.0049382716049382715,0.03374485596707819,0.30833620987228166,0.0489299275112185,0.28210217466344495,0.3210673720242726,0.04473315699393185,0.2587521394118562,0.404241,52.4125,0,0,0,50.283385,0,12498.694,349,2191,0,0,0,0,0,278.75,0,0.042,4.9,0.049
1999-06-30,0.4470787468247248,0.01100762066045724,0.04064352243861134,0.3103448275862069,0.04586622351474865,0.2896551724137931,0.3218235161363123,0.04287971112615662,0.268186263446927,0.4063895,54.07670454545455,0,0,0,54.09988425,12498.694,12498.694,306,2123,0,0,0,0,0,279.04,0,0.043,4.8,0.048
1999-07-31,0.45859375,0.00546875,0.03359375,0.30126282557221784,0.0489344909234412,0.2941594317284925,0.3147910426472686,0.044929396662387676,0.2705034945086293,0.4859095,56.86607142857143,0,0,0,58.07657825,0,12662.385,314,2235,0,0,0,0,0,279.35,0,0.043,4.8,0.048
1999-08-31,0.4426229508196721,0.00702576112412178,0.04215456674473068,0.295654296875,0.046956380208333336,0.2890625,0.3091642228739003,0.04310850439882698,0.2656158357771261,0.5564732,54.31534090909091,0,0,0,56.938372,0,12662.385,321,2266,0,0,0,0,0,279.65,0,0.042,4.7,0.047
1999-09-30,0.4262008733624454,0.00611353711790393,0.028820960698689956,0.30415973377703825,0.050249584026622295,0.29126455906821963,0.3142857142857143,0.04640967498110355,0.26848072562358277,0.62730175,49.038690476190474,0,0,0,57.950109499999996,12662.385,12662.385,299,1948,0,0,0,0,0,279.95,0,0.042,4.2,0.042
1999-10-31,0.456661316211878,0.009630818619582664,0.03691813804173355,0.3016367887763055,0.04653156664068589,0.2905689789555729,0.3146393210749646,0.043422913719943425,0.26845827439886844,0.6566685,49.44345238095238,0,0,0,58.17494125,0,12877.593,338,2099,0,0,0,0,0,280.22,0,0.040999999999999995,4.5,0.045
1999-11-30,0.47360248447204967,0.0038819875776397515,0.04192546583850932,0.3067992047713718,0.04930417495029821,0.2947117296222664,0.3210858043260278,0.044907606360120325,0.27109296662369287,0.8597098,51.317708333333336,0,0,0,57.3543082,0,12877.593,331,2090,0,0,0,0,0,280.47,0,0.040999999999999995,4.8,0.048
1999-12-31,0.4299772899318698,0.012112036336109008,0.029523088569265707,0.29377632938558146,0.04626023368571656,0.2961608775137112,0.3059605488850772,0.042810177244139505,0.27101200686106347,0.913644,51.47727272727273,0,0,0,57.036735500000006,12877.593,12877.593,254,1981,0,0,0,0,0,280.73,0,0.04,4.3,0.043
2000-01-31,0.42072630646589904,0.0044286979627989375,0.02745792736935341,0.2980412460091466,0.04599188886012598,0.2838898955906463,0.308835027365129,0.04237685691946833,0.2614542611415168,0.930134,42.31875,0,0,0,52.408033,0,12924.179,359,2226,0,0,0,0,0,280.94,0,0.04,5.4,0.054000000000000006
2000-02-29,0.48632668144863267,0.010347376201034738,0.03399852180339985,0.31611363461390407,0.04426822696127492,0.2764647009007622,0.3317847732630703,0.04111773679101373,0.2537096103175704,1.0231585,39.740625,0,0,0,47.38306825,0,12924.179,347,1990,0,0,0,0,0,281.16,0,0.040999999999999995,4.8,0.048
2000-03-31,0.45948072383949645,0.011014948859166011,0.044059795436664044,0.30658189977561706,0.04652206432311144,0.28915482423335825,0.31964431170241653,0.04330708661417323,0.26798805321748576,1.172433,43.203804347826086,0,0,0,53.312977,12924.179,12924.179,340,2178,0,0,0,0,0,281.42,0.01,0.04,4.5,0.045
2000-04-30,0.44925479063165363,0.007097232079488999,0.031227821149751596,0.3075534373194685,0.048743500866551125,0.2895725014442519,0.32004948883245427,0.04460506609363808,0.2654164224783486,1.086077,44.469572368421055,0,0,0,55.3083495,0,13160.842,326,2154,0,0,0,0,0,281.64,0.01,0.038,5,0.05
2000-05-31,0.44996501049685095,0.006997900629811057,0.030090972708187544,0.3052455357142857,0.04582868303571429,0.29331752232142855,0.31764038570618264,0.04209995588327976,0.2693640889897271,0.8815850000000001,43.53267045454545,0,0,0,47.641623,0,13160.842,349,2273,0,0,0,0,0,281.89,0.01,0.04,4.9,0.049
2000-06-30,0.46601941747572817,0.005227781926811053,0.03286034353995519,0.30674615152429824,0.049652882583760945,0.2911258677935406,0.32011987467647457,0.04556599918267266,0.2674703718839395,0.881836,46.80894886363637,0,0,0,48.8304155,13160.842,13160.842,327,2115,0,0,0,0,0,282.16,0.01,0.04,4.9,0.049
2000-07-31,0.4562043795620438,0.00291970802919708,0.0364963503649635,0.3084422946111405,0.04701080795102411,0.29022749603204595,0.32143830019068376,0.04283573958049578,0.266412421683465,0.933482,44.0296875,0,0,0,44.39282,0,13178.419,300,2177,0,0,0,0,0,282.42,0.01,0.04,5.2,0.052000000000000005
2000-08-31,0.46408839779005523,0.0055248618784530384,0.030781373322809787,0.31089049787265804,0.047995819959692466,0.28849742479659624,0.3236649498509081,0.044320954188126864,0.26619680130116563,0.9729355000000001,41.88111413043478,0,0,0,38.474152000000004,0,13178.419,341,2212,0,0,0,0,0,282.69,0.01,0.040999999999999995,5.2,0.052000000000000005
2000-09-30,0.4481865284974093,0.012953367875647668,0.039723661485319514,0.31866555966488036,0.05109819609027096,0.2949656577854932,0.3282231890062841,0.04806297907603066,0.27491195359436504,0.857352,45.8,0,0,0,40.62409475,13178.419,13178.419,313,2021,0,0,0,0,0,282.96,0.01,0.039,4.5,0.045
2000-10-31,0.45318352059925093,0.010611735330836454,0.03495630461922597,0.31875726255274905,0.049966362913583265,0.29068558497951197,0.3300470783716422,0.046358349487676545,0.26790362780393245,0.3734372,52.69034090909091,0,0,0,45.93291,0,13260.506,366,2109,0,0,0,0,0,283.2,0.01,0.039,4.6,0.046
2000-11-30,0.477909147479776,0.009334163036714374,0.03546981953951462,0.31690185811889404,0.04808122086712215,0.283698358980908,0.3311647187517992,0.04456215095860441,0.2608094881685762,0.33007825,56.770833333333336,0,0,0,48.8163625,0,13260.506,324,1948,0,0,0,0,0,283.44,0.01,0.039,4.5,0.045
2000-12-31,0.46344647519582244,0.00587467362924282,0.030678851174934726,0.31585694141776693,0.0434559671836944,0.2825278810408922,0.3279629093016517,0.03993045494059693,0.25998261373514925,0.26339275,50.3875,0,0,0,47.1582365,13260.506,13260.506,296,1921,0,0,0,0,0,283.65,0.01,0.039,4.2,0.042
2001-01-31,0.45709946848899013,0.00683371298405467,0.030372057706909643,0.30351644790147464,0.052665694376924324,0.29103872954140336,0.317519042437432,0.04802321363801233,0.26623141095393543,0.3330358,49.77595228571428,0,0,0,48.4397722,0,13222.69,309,2188,0,0,0,0,0,283.84,0.01,0.042,4.8,0.048
2001-02-28,0.46421536441234407,0.009192383453709783,0.0334865397242285,0.3063846610001977,0.05185478025960335,0.28707913289846476,0.31983901515151514,0.04799952651515151,0.26390861742424243,0.340123,48.667895,0,0,0,45.78452125,0,13222.69,308,2012,0,0,0,0,0,284.05,0.01,0.042,4.9,0.049
2001-03-31,0.4608540925266904,0.004744958481613286,0.03914590747330961,0.3062383979299094,0.0516960117005119,0.2945378860325139,0.31891204880528723,0.04748347737671581,0.272089476359939,0.3792185,43.48681818181818,0,0,0,43.0146065,13222.69,13222.69,336,2202,0,0,0,0,0,284.27,0.06,0.043,5.3,0.053
2001-04-30,0.4676470588235294,0.007058823529411765,0.03058823529411765,0.31967783057132926,0.05012168269787924,0.2879244408390312,0.33159377935497336,0.04597641164805344,0.26489927982465294,0.4285714,41.9689999,0,0,0,47.8601578,0,13299.984,351,2245,0,0,0,0,0,284.49,0.06,0.044000000000000004,5,0.05
2001-05-31,0.48094940662086194,0.006870705808869456,0.037476577139287946,0.3163841807909605,0.051211955531255696,0.2959115485085961,0.32989973152156044,0.04690153964166347,0.27297134403594325,0.40192,42.95681768181818,0,0,0,48.59940225,0,13299.984,341,2398,0,0,0,0,0,284.73,0.06,0.043,4.4,0.044000000000000004
2001-06-30,0.4691689008042895,0.00938337801608579,0.03351206434316354,0.31309638168427795,0.048735190521934035,0.2919628562279859,0.32608066662808866,0.04530987790058446,0.268560847173196,0.38959825000000003,40.73714280952381,0,0,0,47.6641055,13299.984,13299.984,331,2222,0,0,0,0,0,284.97,0.06,0.045,4.4,0.044000000000000004
2001-07-31,0.46987951807228917,0.004016064257028112,0.03614457831325301,0.3097682226095939,0.05068112854283685,0.294983536703467,0.3225374264577387,0.04642628298479641,0.27244131181918796,0.3761428,42.37666661904762,0,0,0,49.3656234,0,13244.784,342,2401,0,0,0,0,0,285.22,0.06,0.046,5.6,0.055999999999999994
2001-08-31,0.4310455420141116,0.010262989095574085,0.028223220012828735,0.30199936528086324,0.052554744525547446,0.2924151063154554,0.3120388904775522,0.048727480697740924,0.268515870746354,0.33129474999999997,42.98130439130435,0,0,0,46.88619125,0,13244.784,312,2352,0,0,0,0,0,285.49,0.06,0.049,6.8,0.068
2001-09-30,0.46686303387334316,0.004418262150220913,0.033873343151693665,0.3544157608695652,0.0546875,0.29476902173913044,0.3628907936116421,0.05025590429795893,0.27267682062033666,0.29415175,44.592000666666664,0,0,0,45.9801245,13244.784,13244.784,332,2066,0,0,0,0,0,285.69,0.07,0.05,7,0.07
2001-10-31,0.46189111747851,0.009169054441260744,0.033810888252149,0.3343596391724734,0.05023497002106628,0.28844595689515473,0.34446345636763626,0.046590075776093864,0.2662429723783916,0.3203214,43.04913030434783,0,0,0,46.9572388,0,13280.859,362,2222,0,0,0,0,0,285.92,0.08,0.053,3.4,0.034
2001-11-30,0.4561933534743202,0.009667673716012085,0.03262839879154079,0.3165130107468223,0.04549669957994654,0.2889094975724183,0.32704776045533285,0.042118287552585995,0.26755753526354864,0.351875,38.44095276190476,0,0,0,44.17473375,0,13280.859,321,2185,0,0,0,0,0,286.14,0.08,0.055,4.1,0.040999999999999995
2001-12-31,0.48398835516739447,0.012372634643377001,0.02911208151382824,0.3123087621696801,0.05006954102920723,0.28477051460361613,0.3257404618473896,0.04674949799196787,0.2620481927710843,0.3930358,38.78399985,0,0,0,43.3635446,13280.859,13280.859,318,2078,0,0,0,0,0,286.34,0.09,0.057,4.5,0.045
2002-01-31,0.4254937163375224,0.00718132854578097,0.04847396768402154,0.294463346736777,0.05706773894215898,0.2998762759047324,0.3039479269845762,0.052922031979623606,0.2801754634215367,0.4057145,37.6295240952381,0,0,0,43.39906775,0,13397.002,368,2379,0,0,0,0,0,286.54,0.09,0.057,6.1,0.061
2002-02-28,0.4407252440725244,0.0041841004184100415,0.0599721059972106,0.2918333118307315,0.05444458779512321,0.2931234679396207,0.3035357688241513,0.0500411135909785,0.27416891812522026,0.4201785,36.52315747368421,0,0,0,41.52622875,0,13397.002,301,2110,0,0,0,0,0,286.72,0.09,0.057,5.8,0.057999999999999996
2002-03-31,0.4557823129251701,0.005442176870748299,0.01904761904761905,0.2812380588460069,0.052095274487326454,0.27856324035154756,0.29577790630422207,0.048235974551764024,0.25575477154424525,0.43468775,38.61649995,0,0,0,41.829749,13397.002,13397.002,324,2278,0,0,0,0,0,286.93,0.09,0.057,5.9,0.059000000000000004
