date	18-29 	30-49 	50-64 	65+
3/21/2005 	7% 	6% 	4% 	3%
12/8/2005 	16% 	9% 	5% 	2%
8/31/2006 	41% 	6% 	3% 	0%
5/11/2008 	60% 	21% 	7% 	2%
8/10/2008 	65% 	27% 	10% 	3%
8/31/2008 	68% 	27% 	9% 	2%
12/4/2008 	67% 	30% 	12% 	2%
12/20/2008 	59% 	28% 	8% 	3%
4/19/2009 	70% 	42% 	20% 	5%
9/14/2009 	67% 	44% 	21% 	6%
12/27/2009 	78% 	47% 	25% 	8%
1/19/2010 	76% 	51% 	26% 	7%
5/30/2010 	82% 	53% 	37% 	11%
9/13/2010 	80% 	52% 	31% 	9%
11/24/2010 	74% 	54% 	33% 	11%
11/28/2010 	78% 	54% 	33% 	14%
12/21/2010 	76% 	55% 	36% 	12%
5/22/2011 	79% 	61% 	38% 	14%
8/26/2011 	82% 	59% 	36% 	12%
2/19/2012 	82% 	64% 	39% 	16%
8/7/2012 	88% 	68% 	48% 	22%
5/19/2013 	87% 	72% 	50% 	24%
7/14/2013 	87% 	72% 	49% 	21%
9/30/2013 	89% 	74% 	54% 	27%
1/26/2014 	84% 	77% 	52% 	27%
7/12/2015 	90% 	77% 	51% 	35%
11/6/2016 	86% 	80% 	64% 	34%
1/10/2018 	88% 	78% 	64% 	37%
2/7/2019 	90% 	82% 	69% 	40%
