date	population
Dec 1, 2020 	330.66 million
Nov 1, 2020 	330.53 million
Oct 1, 2020 	330.38 million
Sep 1, 2020 	330.22 million
Aug 1, 2020 	330.05 million
Jul 1, 2020 	329.88 million
Jun 1, 2020 	329.73 million
May 1, 2020 	329.59 million
Apr 1, 2020 	329.46 million
Mar 1, 2020 	329.34 million
Feb 1, 2020 	329.24 million
Jan 1, 2020 	329.14 million
Dec 1, 2019 	329.02 million
Nov 1, 2019 	328.89 million
Oct 1, 2019 	328.74 million
Sep 1, 2019 	328.58 million
Aug 1, 2019 	328.41 million
Jul 1, 2019 	328.24 million
Jun 1, 2019 	328.10 million
May 1, 2019 	327.96 million
Apr 1, 2019 	327.84 million
Mar 1, 2019 	327.73 million
Feb 1, 2019 	327.64 million
Jan 1, 2019 	327.54 million
Dec 1, 2018 	327.43 million
Nov 1, 2018 	327.31 million
Oct 1, 2018 	327.17 million
Sep 1, 2018 	327.01 million
Aug 1, 2018 	326.85 million
Jul 1, 2018 	326.69 million
Jun 1, 2018 	326.53 million
May 1, 2018 	326.39 million
Apr 1, 2018 	326.26 million
Mar 1, 2018 	326.14 million
Feb 1, 2018 	326.03 million
Jan 1, 2018 	325.93 million
Dec 1, 2017 	325.80 million
Nov 1, 2017 	325.66 million
Oct 1, 2017 	325.51 million
Sep 1, 2017 	325.34 million
Aug 1, 2017 	325.16 million
Jul 1, 2017 	324.99 million
Jun 1, 2017 	324.80 million
May 1, 2017 	324.64 million
Apr 1, 2017 	324.48 million
Mar 1, 2017 	324.34 million
Feb 1, 2017 	324.21 million
Jan 1, 2017 	324.08 million
Dec 1, 2016 	323.91 million
Nov 1, 2016 	323.74 million
Oct 1, 2016 	323.56 million
Sep 1, 2016 	323.35 million
Aug 1, 2016 	323.14 million
Jul 1, 2016 	322.94 million
Jun 1, 2016 	322.73 million
May 1, 2016 	322.55 million
Apr 1, 2016 	322.37 million
Mar 1, 2016 	322.20 million
Feb 1, 2016 	322.04 million
Jan 1, 2016 	321.86 million
Dec 1, 2015 	321.71 million
Nov 1, 2015 	321.50 million
Oct 1, 2015 	321.31 million
Sep 1, 2015 	321.08 million
Aug 1, 2015 	320.86 million
Jul 1, 2015 	320.64 million
Jun 1, 2015 	320.43 million
May 1, 2015 	320.24 million
Apr 1, 2015 	320.06 million
Mar 1, 2015 	319.89 million
Feb 1, 2015 	319.73 million
Jan 1, 2015 	319.59 million
Dec 1, 2014 	319.41 million
Nov 1, 2014 	319.22 million
Oct 1, 2014 	319.01 million
Sep 1, 2014 	318.77 million
Aug 1, 2014 	318.54 million
Jul 1, 2014 	318.30 million
Jun 1, 2014 	318.11 million
May 1, 2014 	317.91 million
Apr 1, 2014 	317.73 million
Mar 1, 2014 	317.56 million
Feb 1, 2014 	317.41 million
Jan 1, 2014 	317.24 million
Dec 1, 2013 	317.06 million
Nov 1, 2013 	316.88 million
Oct 1, 2013 	316.66 million
