Date,Open,High,Low,Close,Adj Close,Volume
1983-11-21,7.939334,8.009593,7.377257,7.742607,1.378207,10611541
1983-11-28,7.700451,7.700451,7.391309,7.433465,1.323178,14434862
1983-12-05,7.433465,7.517776,7.349153,7.475620,1.330681,20700022
1983-12-12,7.475620,7.658295,7.461568,7.616140,1.355695,16825104
1983-12-19,7.616140,7.616140,7.349153,7.363205,1.310672,12693997
1983-12-26,7.349153,7.405361,7.306997,7.335101,1.305669,12329278
1984-01-02,7.377257,8.037697,7.377257,7.981489,1.420728,13874440
1984-01-09,7.981489,8.122009,7.855022,8.037697,1.430734,9191805
1984-01-16,8.093905,8.262528,8.093905,8.262528,1.470753,11431713
1984-01-23,8.262528,8.403047,8.178216,8.290632,1.475757,9993297
1984-01-30,8.290632,8.445203,8.220372,8.276580,1.473256,11566926
1984-02-06,8.262528,8.262528,7.826918,7.897178,1.405720,11558919
1984-02-13,7.897178,8.234424,7.826918,8.150112,1.450743,12620163
1984-02-20,8.150112,8.150112,7.784763,7.995541,1.423229,10078695
1984-02-27,7.981489,8.262528,7.784763,8.192268,1.458247,9081500
1984-03-05,8.178216,8.178216,7.883126,7.939334,1.413225,6943002
1984-03-12,7.939334,8.093905,7.897178,8.051749,1.433235,13001784
1984-03-19,8.037697,8.037697,7.925282,8.023645,1.428232,12399553
1984-03-26,7.883126,7.981489,7.869074,7.911230,1.408222,9004109
1984-04-02,7.911230,7.911230,7.616140,7.672347,1.397016,11139049
1984-04-09,7.672347,7.714503,7.419413,7.461568,1.358638,10543044
1984-04-16,7.461568,7.630192,7.433465,7.503724,1.366313,14078149
1984-04-23,7.503724,7.925282,7.475620,7.784763,1.417485,8444576
1984-04-30,7.784763,8.009593,7.658295,7.883126,1.435396,7476738
1984-05-07,7.883126,8.065801,7.812866,7.953386,1.448190,6870058
1984-05-14,7.939334,7.939334,7.700451,7.728555,1.407251,6854046
1984-05-21,7.728555,7.869074,7.630192,7.714503,1.404693,5186124
1984-05-28,7.714503,7.812866,7.517776,7.812866,1.422603,5449435
1984-06-04,7.812866,7.967438,7.742607,7.939334,1.445631,8061176
1984-06-11,7.939334,7.953386,7.840970,7.869074,1.432838,5227934
1984-06-18,7.869074,8.051749,7.812866,7.869074,1.432838,13829073
1984-06-25,7.770711,7.812866,7.602088,7.630192,1.389341,7756058
1984-07-02,7.630192,7.826918,7.616140,7.812866,1.455880,2755852
1984-07-09,7.840970,8.178216,7.840970,8.093905,1.508250,4985974
1984-07-16,8.065801,8.178216,7.967438,8.023645,1.495158,5449434
1984-07-23,8.023645,8.403047,7.981489,8.206320,1.529199,8013142
1984-07-30,8.206320,8.571670,8.107957,8.431151,1.571093,8338720
1984-08-06,8.431151,8.459255,8.150112,8.178216,1.523961,7181404
1984-08-13,8.178216,8.290632,8.164164,8.262528,1.539672,4030589
1984-08-20,8.262528,8.459255,8.234424,8.417099,1.568476,4773370
1984-08-27,8.403047,8.487359,8.346839,8.459255,1.576330,5089163
1984-09-03,8.459255,8.515462,8.360891,8.445203,1.573713,2908855
1984-09-10,8.445203,8.627878,8.403047,8.571670,1.597279,9547629
1984-09-17,8.571670,8.768397,8.543566,8.712189,1.623464,19094369
1984-09-24,8.599774,8.712189,8.417099,8.627878,1.607753,6838923
1984-10-01,8.627878,8.627878,8.473307,8.487359,1.614908,3882033
1984-10-08,8.473307,8.585722,8.431151,8.543566,1.625602,3951418
1984-10-15,8.543566,9.021331,8.515462,8.894864,1.692445,7064872
1984-10-22,8.894864,8.908916,8.543566,8.684085,1.652340,7219654
1984-10-29,8.684085,8.782449,8.670033,8.740293,1.663035,4086632
1984-11-05,8.740293,8.838656,8.684085,8.698137,1.655013,5990285
1984-11-12,8.698137,8.754345,8.585722,8.684085,1.652340,4428221
1984-11-19,8.684085,8.979176,8.641930,8.965124,1.705814,2894622
1984-11-26,8.965124,8.965124,8.796501,8.838656,1.681751,5042905
1984-12-03,8.838656,8.880812,8.641930,8.852708,1.684423,4156906
1984-12-10,8.852708,8.922968,8.810553,8.908916,1.695119,8202616
1984-12-17,8.908916,9.330474,8.740293,8.796501,1.673730,17319699
1984-12-24,8.796501,8.951072,8.796501,8.894864,1.726549,2755851
1984-12-31,8.894864,9.049435,8.880812,8.922968,1.732006,4409540
1985-01-07,8.922968,9.021331,8.838656,8.880812,1.723822,5697621
1985-01-14,8.880812,8.993228,8.768397,8.838656,1.715640,5654922
1985-01-21,8.838656,8.965124,8.740293,8.937020,1.734733,12081090
1985-01-28,8.993228,9.302370,8.993228,9.232110,1.792012,9780694
1985-02-04,9.232110,9.274266,9.105643,9.232110,1.792012,10333998
1985-02-11,9.232110,9.527200,9.218058,9.456941,1.835654,3875805
1985-02-18,9.485045,9.541252,9.358577,9.414785,1.827470,4371289
1985-02-25,9.414785,9.456941,9.316422,9.344526,1.813832,5832833
1985-03-04,9.344526,9.386681,9.161851,9.246162,1.794739,5578421
1985-03-11,9.246162,9.485045,9.246162,9.344526,1.813832,6046328
1985-03-18,9.344526,9.569356,9.330474,9.541252,1.852018,6793556
1985-03-25,9.414785,9.414785,9.274266,9.344526,1.813832,4291230
1985-04-01,9.344526,9.513149,9.330474,9.358577,1.853688,3194405
1985-04-08,9.358577,9.583408,9.274266,9.541252,1.889872,3761053
1985-04-15,9.541252,9.625564,9.442889,9.597460,1.901005,3140142
1985-04-22,9.597460,9.892550,9.555304,9.822291,1.945537,2718491
1985-04-29,9.822291,9.864446,9.681772,9.794187,1.939971,5068703
1985-05-06,9.794187,9.794187,9.611512,9.695823,1.920487,4145341
1985-05-13,9.695823,10.187641,9.653668,10.173589,2.015122,3567129
1985-05-20,10.173589,10.215744,9.822291,9.948758,1.970588,5543726
1985-05-27,9.948758,10.117381,9.864446,10.103329,2.001204,2994253
1985-06-03,10.103329,10.510835,10.103329,10.426523,2.065219,3648967
1985-06-10,10.370316,10.370316,10.229796,10.314108,2.042953,4898797
1985-06-17,10.300056,10.412471,10.243848,10.412471,2.062436,20395791
1985-06-24,10.243848,10.412471,10.159537,10.412471,2.062436,5053579
1985-07-01,10.412471,10.595146,10.370316,10.524887,2.088536,2944437
1985-07-08,10.524887,10.735665,10.482731,10.651354,2.113632,3232654
1985-07-15,10.651354,10.904288,10.524887,10.552990,2.094113,7595937
1985-07-22,10.524887,10.524887,9.864446,9.948758,1.974211,8014919
1985-07-29,9.948758,10.117381,9.808239,9.976862,1.979788,9363489
1985-08-05,9.976862,9.990914,9.752031,9.934706,1.971422,5756332
1985-08-12,9.934706,10.061173,9.892550,9.976862,1.979788,2756741
1985-08-19,9.976862,10.286004,9.962810,10.131433,2.010460,3672096
1985-08-26,10.131433,10.300056,10.117381,10.243848,2.032767,3557344
1985-09-02,10.243848,10.468679,10.215744,10.426523,2.069017,2729164
1985-09-09,10.426523,10.440575,9.752031,9.878498,1.960268,9332356
1985-09-16,9.878498,10.145485,9.780135,10.061173,1.996518,12699334
1985-09-23,10.061173,10.201693,9.723927,9.752031,1.935173,9347479
1985-09-30,9.752031,9.780135,9.611512,9.653668,1.952431,4672849
1985-10-07,9.709875,9.808239,9.653668,9.780135,1.978008,3786849
